team,team_code,url
Memphis,TNMS,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Memphis_Tigers_logo.svg/1176px-Memphis_Tigers_logo.svg.png
Penn State,PAST,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/1280px-Penn_State_Nittany_Lions_logo.svg.png
Notre Dame,INND,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Notre_Dame_Fighting_Irish_logo.svg/1138px-Notre_Dame_Fighting_Irish_logo.svg.png
Iowa State,IAST,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Iowa_State_Cyclones_logo.svg/1280px-Iowa_State_Cyclones_logo.svg.png
Oklahoma,OKUN,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/795px-Oklahoma_Sooners_logo.svg.png
LSU,LAST,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/1280px-LSU_Athletics_logo.svg.png
Clemson,SCCL,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/1071px-Clemson_Tigers_logo.svg.png
Ohio State,OHST,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1041px-Ohio_State_Buckeyes_logo.svg.png
Western KY,KYWE,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Western_Kentucky_Hilltoppers_wordmark.svg/1280px-Western_Kentucky_Hilltoppers_wordmark.svg.png
Western MI,MIWE,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Western_Michigan_Athletics_wordmark.svg/1264px-Western_Michigan_Athletics_wordmark.svg.png
California,CAUN,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/California_Golden_Bears_logo.svg/1278px-California_Golden_Bears_logo.svg.png
Illinois,ILUN,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Illinois_Fighting_Illini_logo.svg/708px-Illinois_Fighting_Illini_logo.svg.png
MS State,MSST,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Mississippi_State_Bulldogs_logo.svg/1280px-Mississippi_State_Bulldogs_logo.svg.png
Louisville,KYLO,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/928px-Louisville_Cardinals_logo.svg.png
Florida,FLUN,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/1280px-Florida_Gators_gator_logo.svg.png
